value,label,description,type
21000.00,Money in offshore tax havens,Money in offshore tax havens by the end of 2010,hustling
15000.00,Global financial crisis,Total global losses from the financial crisis,losing
14710.00,US foreign debt,2011,losing
5700.00,Global healthcare budget,,giving
5152.00,UN budget,UN Budget 2012-13,giving
4900.00,Developing countries foreign debt,2011,losing
3500.00,To end extreme poverty within 20 years,Total cost to end extreme poverty within 20 years,giving
3100.00,Annual cost of tax evasion,Global tax evasion each year,hustling
2100.00,Organised crime,Worldwide turnover of organised crime,hustling
1617.00,Global military spending,Global defence expenditure 2011,fighting
1375.00,losses from US residential mortgage loans,,losing
1280.00,The War on Terror,,fighting
1200.00,US healthcare,US total healthcare,giving
1161.80,Alcohol industry,Global value 2011,earning
1027.00,OPEC revenue,2011 net oil export revenues,earning
1000.00,The War on Drugs,Total spent on US war on drugs since 1971 (inflation adjusted),fighting
950.00,Global pharma market,Global drugs market,earning
901.00,US budget deficit,2013,losing
740.00,Tobacco,Global tobacco industry revenue 2011,earning
739.30,US,US defence 2011,fighting
672.00,Illegal drugs market,Global revenue 2009,hustling
650.00,Eurozone rescue fund,,losing
557.10,Afghanistan cost for US,,fighting
523.50,Beer,Global by 2015,earning
500.00,Apple,Apple market capitalisation 2012,earning
499.50,Fast food restaurants,Global fast food restaurant revenues 2012,earning
486.00,US space programme (1959-2015),US space programmes 1959-2015 (inflation-adjusted),spending
484.00,Medicare,US federal medicare budget 2012,giving
419.00,Gambling,Global gambling revenues 2011,spending
410.00,Cannabis,Global revenue,hustling
400.00,Prostitution,Global revenue 2009,hustling
364.66,Worldwide TV industry,Global revenue 2009,earning
337.00,Cost of US tax evasion,each year,losing
307.00,US drug prescriptions,US prescription drugs sales 2010,earning
298.42,Charitable donations by US public,Charitable donations by US public 2012,giving
228.00,Walmart,Walmart market capitalisation 2012,earning
224.00,Microsoft,Microsoft market capitalisation 2012,earning
200.00,Africa's foreign debt,,losing
190.00,US cost of obesity,Social cost of obesity-related illnesses in the US each year,losing
187.00,Google,Google market capitalisation 2012,earning
175.00,Ebay sales,Ebay sales 2012,earning
175.00,US TARP Banks bailout,US gov's 'Troubled Asset Relief Program' for 9 major US banks,losing
132.00,BP,BP market capitalisation 2012,earning
122.00,Cocaine,Global revenue 2009,hustling
113.00,Amazon,Amazon market capitalisation 2012,earning
89.80,China,China defence 2011,fighting
73.00,Carlos Slim Helu,Carlos Slim Helu - richest man in the world. Net worth 2013,earning
67.00,Bill Gates,Bill Gates net worth 2013,earning
67.00,Video games,Global revenue 2012,earning
64.00,Movies,Global consumer spending on movies 2012,spending
60.00,Alt Medicine,Alternative Medicine Global market 2011,earning
55.00,Predicted cost 2003,Iraq War predicted cost 2003,fighting
41.73,Apple profit,Apple profit 2012,earning
32.60,Bonuses for bankers,$ paid out by 9 US banks that had received TARP funding (2008),losing
26.50,Walmart profit,Walmart proft 2012,earning
24.00,Development Aid,UN Development Aid,giving
17.80,NASA,NASA annual budget 2012,spending
17.60,BP profit,2012 underlying replacement cost profit,earning
13.96,Italian Mafia revenue,Italian Mafia criminal activities,hustling
3.00,Climate Change Fund,Climate Change Fund 2007,giving