state,reading,math,writing,percent_graduates_sat,pupil_staff_ratio,dropout_rate,region
United States,501,515,493,46,7.9,4.4,N/A
Alabama,557,552,549,7,6.7,2.3,East South Central
Alaska,520,516,492,46,7.9,7.3,Pacific West
Arizona,516,521,497,26,10.4,7.6,Mountain West
Arkansas,572,572,556,5,6.8,4.6,West South Central
California,500,513,498,49,10.9,5.5,Pacific West
Colorado,568,575,555,20,8.1,6.9,Mountain West
Connecticut,509,513,512,83,6.6,2.1,New England
Delaware,495,498,484,71,7.9,5.5,South Atlantic
District of Columbia,466,451,461,79,6.3,7.1,South Atlantic
Florida,497,498,480,59,8.1,3.8,South Atlantic
Georgia,490,491,479,71,7,4.6,South Atlantic
Hawaii,479,502,469,58,8.3,5.4,Pacific West
Idaho,541,540,520,18,10,2.6,Mountain West
Illinois,588,604,583,6,9.9,4,East North Central
Indiana,496,507,480,63,7.5,2.7,East North Central
Iowa,610,615,588,3,6.8,2.3,West North Central
Kansas,581,589,564,7,8.6,2.7,West North Central
Kentucky,573,573,561,7,6.6,3,East South Central
Louisiana,563,558,555,7,6.8,7.4,West South Central
Maine,468,467,455,90,4.9,5.3,New England
Maryland,500,502,495,69,7.2,3.8,South Atlantic
Massachusetts,514,526,510,84,7.8,3.8,New England
Michigan,584,603,575,5,8.1,7.4,East North Central
Minnesota,595,609,578,7,7.7,3,West North Central
Mississippi,567,554,559,4,6.9,4.3,East South Central
Missouri,595,600,584,5,6.9,3.7,West North Central
Montana,541,542,519,22,7.4,3.7,Mountain West
Nebraska,587,594,572,4,6.7,2.8,West North Central
Nevada,501,505,479,42,12.1,4.5,Mountain West
New Hampshire,523,523,510,75,6.2,3.2,New England
New Jersey,496,513,496,76,6.9,2,Middle Atlantic
New Mexico,553,546,534,11,7,6.1,Mountain West
New York,485,502,478,85,7.4,5.3,Middle Atlantic
North Carolina,495,511,480,63,7.3,5.7,South Atlantic
North Dakota,590,593,566,3,6.2,2.3,West North Central
Ohio,537,546,523,22,7.5,4.5,East North Central
Oklahoma,575,571,557,5,7.4,3.5,West South Central
Oregon,523,525,499,52,8.8,4.6,Pacific West
Pennsylvania,493,501,483,71,7.1,-1,Middle Atlantic
Rhode Island,498,496,494,66,8.4,5.8,New England
South Carolina,486,496,470,67,10.8,3.9,South Atlantic
South Dakota,589,600,569,3,7.1,3.9,West North Central
Tennessee,571,565,565,10,7.6,3.1,East South Central
Texas,486,506,475,51,7.4,4,West South Central
Utah,559,558,540,6,11.9,3.1,Mountain West
Vermont,518,518,506,64,4.9,-1,New England
Virginia,511,512,498,68,6,2.6,South Atlantic
Washington,524,531,507,53,9.9,5.1,Pacific West
West Virginia,511,501,499,18,7.4,4,South Atlantic
Wisconsin,594,608,582,5,8.3,2.2,East North Central
Wyoming,567,568,550,5,5.6,5.1,Mountain West